,Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
163,Democratic People's Republic of Korea,2019,9429,12015,25011,14658,14008,7250,2268.0,5141,386.4,181.7,200.7,715.7,966.2,1271,3472.0,548.7,1456.0,426.9,594.8
164,Bosnia and Herzegovina,2019,7852,12069,29073,19245,16382,5396,1298.0,3630,156.5,67.01,51.88,315.5,446.9,544.7,2179.0,243.3,731.6,80.88,237.7
165,Togo,2019,9830,12082,14830,12294,12895,7963,3415.0,5938,634.4,527.1,672.8,1313.0,1816,4627,4624.0,842.0,2581.0,2115,999.8
166,Montenegro,2019,9147,12128,26743,18496,15792,6295,1491.0,4273,135.1,42.64,52.17,394.5,598,196.9,2687.0,294.8,872.4,28.92,330.9
167,Syrian Arab Republic,2019,9036,12137,23297,18550,15514,6575,1613.0,4058,325.7,537.7,455.7,510.2,645.4,1889,2649.0,365.8,943.3,454.6,442.8
168,Uganda,2019,9532,12146,17199,13263,13620,7482,3131.0,5557,619.6,517.5,819.4,1329.0,1769,3316,4299.0,787.4,2402.0,1220,992.6
169,Iraq,2019,9202,12275,24894,15432,14596,6687,2038.0,4529,358.4,183.7,197.2,662.6,854.9,2294,3063.0,545.3,1225.0,400.9,561.6
170,Ethiopia,2019,9112,12296,20058,14918,14680,6732,2420.0,4655,459.1,475.7,545.2,902.3,1229,3655,3408.0,587.1,1751.0,1405,711.8
171,Brazil,2019,6890,9556,37161,14809,12305,4984,1696.0,3469,623.2,136.4,96.25,761.8,959.4,1229,2393.0,818.4,1217.0,149.6,745.1
172,Ghana,2019,9934,12372,15934,13038,13401,7923,3335.0,5847,593.9,447.7,570.7,1315.0,1816,3427,4502.0,811.1,2533.0,1214,986.2
173,Senegal,2019,9526,12451,19460,14496,14187,7260,2477.0,4984,466.6,436.3,546.8,991.4,1296,3302,3603.0,665.8,1834.0,1230,787.2
174,Rwanda,2019,9639,12467,19010,14638,14372,7419,2675.0,5318,469.6,448.4,476.4,981.1,1329,2601,3940.0,659.1,1950.0,842.7,763.2
175,South Africa,2019,7710,8658,20820,12668,9890,6356,4238.0,5305,709.0,283.5,242.8,3262.0,3797,2809,4787.0,1373.0,4120.0,688.3,2284.0
176,Honduras,2019,9913,12795,21646,15236,15006,7458,2323.0,5284,373.8,246.2,185.6,724.2,988.9,1420,3554.0,518.7,1495.0,242.2,589.2
177,The former Yugoslav Republic of Macedonia,2019,9007,12940,19272,22760,18485,6382,1495.0,4311,163.1,75.29,57.37,316.7,458.1,547,2413.0,163.3,803.5,77.47,273.2
178,Central African Republic,2019,9751,9517,4635,5933,8176,9678,6598.0,8958,1226.0,481.5,782.6,2666.0,3743,8333,7838.0,1608.0,5140.0,2922,2013.0
179,Bolivia (Plurinational State of),2019,9538,13053,21779,16677,15989,6686,1887.0,4389,342.5,181.5,220.4,628.2,850.2,2167,2914.0,456.1,1246.0,484.5,511.1
180,Australia,2019,3945,6144,56159,15081,9698,2712,854.7,1885,144.3,41.85,36.67,287.6,413.3,289.1,1252.0,194.7,592.8,53.1,215.4
181,Lesotho,2019,7542,7408,4098,5000,6544,7707,8673.0,7949,1389.0,327.6,464.9,5199.0,6911,6724,8308.0,2214.0,8102.0,1942,3497.0
182,Jordan,2019,7224,9932,37496,17380,14501,4390,973.7,2600,173.9,162.4,173.8,301.1,397.1,1414,1615.0,215.6,599.3,210.8,240.6
183,Gabon,2015,10007,11917,14704,12238,12936,8086,3743.0,6205,575.9,683.6,577.2,1533.0,2132,3576,4854.0,841.1,2866.0,1427,1097.0
184,Zimbabwe,2015,9435,10189,8425,8480,10015,8593,6378.0,7679,974.2,660.6,587.3,2838.0,4059,4072,7111.0,1399.0,5279.0,1923,1905.0
185,Albania,2015,5699,10016,33912,22799,15651,3710,1020.0,2234,232.7,117.8,113.6,293.1,431,772.6,1607.0,272.1,701.5,112.1,305.7
186,Saint Vincent and the Grenadines,2015,8855,10019,27955,15256,12449,5780,2697.0,4764,461.5,300.5,169.0,1149.0,1495,1410,3444.0,808.3,1918.0,156.2,913.9
187,Ghana,2015,10026,12162,14107,12214,12899,8156,3669.0,6134,672.3,481.1,651.0,1549.0,2114,3837,4831.0,908.7,2870.0,1577,1141.0
188,Barbados,2015,7144,10052,35393,16511,12961,5075,1716.0,3416,295.0,128.4,62.92,643.4,879.7,1335,2312.0,398.7,1063.0,102.8,509.2
189,Solomon Islands,2015,11196,12568,10063,11238,12750,9788,4698.0,7986,624.5,217.6,253.3,1826.0,2434,1827,6202.0,1129.0,3431.0,338.3,1428.0
190,Eritrea,2015,11175,12269,9485,10066,12069,9692,4605.0,7885,747.0,414.8,407.0,1673.0,2356,3998,6153.0,1061.0,3388.0,1269,1288.0
191,Costa Rica,2015,4456,6928,51000,14680,10073,3668,1040.0,2340,265.4,101.4,75.61,569.2,669.4,758.4,1521.0,457.8,798.7,113.9,483.7
192,Micronesia (Federated States of),2015,11237,12117,8608,10238,12015,10080,4963.0,8288,634.1,285.8,366.0,1987.0,2682,2902,6533.0,1223.0,3667.0,604,1570.0
193,Cameroon,2015,9006,10727,11534,10083,11016,7667,4638.0,6175,756.8,789.9,1425.0,2243.0,3094,5816,5407.0,1077.0,3919.0,3108,1519.0
194,Gambia,2015,10111,12155,13768,12086,12911,8176,3692.0,6183,544.6,481.4,642.2,1523.0,2152,4007,4762.0,794.0,2905.0,2043,1063.0
195,Burundi,2015,10125,11865,12047,11071,12092,8605,3896.0,6632,815.0,880.7,1206.0,1514.0,2074,4594,5214.0,1071.0,2967.0,2123,1209.0
196,Mongolia,2015,11154,12369,17294,11054,11075,10127,3972.0,7348,468.9,254.9,243.6,1218.0,1828,1674,5423.0,662.9,2682.0,292.7,856.7
197,Guinea-Bissau,2015,10138,11081,8639,8946,10671,9033,4956.0,7529,834.5,444.8,1136.0,2018.0,2841,5956,6163.0,1129.0,3889.0,3138,1457.0
198,Guyana,2015,9700,13168,11421,16359,10140,8946,3560.0,6778,695.2,281.4,209.1,1668.0,2269,2620,5559.0,1276.0,3164.0,603.7,1582.0
199,Sierra Leone,2015,9024,10855,11309,10158,11085,7584,3598.0,5777,699.0,754.8,1415.0,1713.0,2266,9605,4574.0,981.5,2881.0,4401,1320.0
200,Pakistan,2015,10165,12514,14376,12571,13200,8164,2945.0,5864,589.5,363.4,471.4,1210.0,1550,6267,4295.0,858.4,2197.0,1396,1003.0
201,Cambodia,2015,10183,13042,17660,14708,14891,7684,2689.0,5352,480.6,200.8,343.5,937.8,1302,2813,3949.0,672.8,1902.0,446.7,742.7
202,Samoa,2015,10189,12453,18774,14032,14128,8131,3106.0,6097,444.0,181.9,198.4,1135.0,1506,1209,4381.0,757.4,2153.0,203.4,921.1
203,Uruguay,2015,7475,10196,36045,15875,12759,5334,1497.0,3719,331.3,91.06,74.67,616.0,781.6,744.4,2326.0,525.2,1004.0,125.2,481.0
204,Guinea,2015,9736,11528,10563,10221,11480,8283,3843.0,6370,754.1,631.2,1241.0,1769.0,2329,6888,5033.0,1044.0,3038.0,3889,1359.0
205,Czechia,2015,7303,10229,37074,18278,13277,5107,1190.0,3112,139.4,50.54,42.64,296.3,451.1,287.2,1915.0,237.2,687.3,61.86,261.4
206,Congo,2015,10232,11874,11983,11105,12393,8546,4471.0,6834,755.6,394.8,465.9,1748.0,2507,3877,5538.0,970.4,3458.0,1562,1286.0
207,Switzerland,2015,4298,6653,54000,16328,10235,3018,669.7,1843,118.8,45.97,38.83,183.5,269.5,390.9,1127.0,158.1,405.5,59.3,158.5
208,Kiribati,2015,11111,11282,5330,7731,10251,10487,5879.0,9215,844.4,390.3,573.8,2288.0,3113,5095,7528.0,1452.0,4357.0,1276,1796.0
209,Philippines,2015,10265,11820,20648,16501,13909,7166,2440.0,4927,366.3,207.6,217.8,939.0,1192,2236,3532.0,547.1,1745.0,635.9,704.1
210,Bangladesh,2015,7615,10286,32246,15676,11902,6007,1701.0,3908,334.5,270.3,319.6,484.7,654.7,3036,3054.0,375.8,1024.0,691.5,413.3
211,Syrian Arab Republic,2015,10303,12661,11491,14828,14607,7904,2439.0,5188,1325.0,1760.0,1405.0,1707.0,1667,2133,3627.0,2430.0,1782.0,669.3,2076.0
212,Seychelles,2015,8751,10313,25395,16422,15664,6404,2383.0,4531,285.1,133.2,129.0,916.6,994.5,1292,3264.0,578.4,1666.0,207,671.6
213,Somalia,2015,10316,10790,6744,7751,9826,9386,4515.0,7769,889.8,808.1,1666.0,1738.0,2356,8478,6092.0,1205.0,3373.0,4900,1397.0
214,Argentina,2015,7733,10317,34216,16435,13263,5575,1507.0,3743,375.5,114.8,92.58,555.6,684.4,961.7,2336.0,483.4,976.9,166.3,464.5
215,Chad,2015,9530,11536,11051,10364,11639,7821,3364.0,5871,691.2,957.1,1500.0,1476.0,1952,7698,4575.0,925.5,2620.0,5276,1152.0
216,Grenada,2015,10381,12536,24396,14883,14051,7141,2123.0,4600,295.3,190.8,182.0,814.5,1104,1496,3104.0,481.8,1457.0,195.8,568.1
217,Indonesia,2015,10385,13534,18578,15497,15610,7660,2238.0,5159,401.5,217.5,347.8,706.1,981.7,2181,3473.0,540.2,1464.0,450.5,577.9
218,Madagascar,2015,10404,12480,13473,12147,13041,8523,3296.0,6290,594.9,730.7,1088.0,1322.0,1747,4094,4661.0,872.0,2465.0,1714,1057.0
219,Australia,2015,4211,6581,53259,15986,10436,2843,912.4,1950,161.0,52.09,42.66,312.5,444.6,320.4,1349.0,201.7,632.7,67.18,237.4
220,Sao Tome and Principe,2015,10436,13377,18003,15060,15281,7628,2317.0,5222,397.6,324.7,350.7,754.7,1041,2743,3543.0,556.4,1537.0,812.3,614.8
221,Botswana,2015,9384,10450,10533,9548,10656,8252,5934.0,7133,872.4,240.7,399.2,3028.0,4150,3203,6646.0,1392.0,5243.0,938.3,1998.0
222,Tunisia,2015,7089,10485,33264,19128,14724,4611,1163.0,2956,223.2,159.8,162.6,494.7,578.3,1382,1802.0,339.5,805.1,243,389.0
223,Equatorial Guinea,2015,8239,10518,15062,11962,12002,6503,3865.0,5035,577.1,646.1,1045.0,2152.0,2886,6891,4328.0,858.7,3419.0,2612,1397.0
224,Papua New Guinea,2015,10534,12423,13037,11824,12865,8729,3772.0,6635,610.1,364.4,518.0,1515.0,2073,4053,5076.0,889.1,2885.0,1070,1127.0
225,Croatia,2015,7594,10561,33341,18962,14049,5383,1351.0,3802,141.5,74.85,63.43,321.2,516.8,421.5,2177.0,223.7,717.7,76.46,224.6
226,Turkmenistan,2015,10573,13622,19594,12048,13285,7960,2743.0,5922,452.2,191.4,194.1,983.7,1259,3215,4087.0,571.9,2009.0,586.4,705.3
227,Côte d’Ivoire,2015,9532,11428,11984,10588,11705,7917,4135.0,6178,726.7,969.4,1396.0,1619.0,2328,6501,5135.0,923.6,3229.0,2532,1172.0
228,Afghanistan,2015,10736,12174,10589,10616,12290,9002,3793.0,6963,1017.0,230.0,309.7,1736.0,2199,5443,5219.0,1543.0,2863.0,1731,1546.0
229,Latvia,2015,8084,10601,30103,16075,12421,6594,2364.0,4764,211.0,83.11,86.73,820.4,1214,490.4,3481.0,332.3,1675.0,77.58,521.6
230,Austria,2015,5762,7939,47956,16962,10644,3839,872.3,2422,135.7,54.52,31.33,234.1,371.1,314.5,1460.0,207.9,552.6,54.07,187.0
231,Canada,2015,4877,7283,51202,15405,10644,3408,878.7,2218,163.1,58.74,42.51,330.2,395.9,472,1410.0,250.4,587.3,72.93,301.0
232,Hungary,2015,8612,10668,29144,16958,13753,7150,1811.0,5360,147.8,62.58,46.98,335.3,542.4,467.1,3470.0,208.4,903.5,84.1,276.0
233,Dominican Republic,2015,7515,10711,29756,14097,11239,6521,2443.0,4304,389.7,153.8,156.4,1130.0,1399,2632,3551.0,756.2,1810.0,549.4,886.5
234,Spain,2015,4568,6611,52370,16226,10767,3209,841.1,2261,90.41,43.37,41.29,184.5,277.4,271.7,1446.0,125.7,465.0,48.93,153.2
235,Zambia,2015,9450,10767,11351,9989,10990,8229,4949.0,6878,864.6,424.6,768.8,2365.0,3188,4619,5961.0,1256.0,4123.0,2154,1673.0
236,Vanuatu,2015,11156,12620,10771,11444,12874,9538,4345.0,7533,638.5,255.8,316.1,1726.0,2303,2651,5744.0,1068.0,3197.0,470.3,1349.0
237,Italy,2015,4597,7102,51704,16956,10785,3051,775.8,1942,117.4,42.13,33.15,216.3,294.4,303,1243.0,155.0,455.7,53.73,172.0
238,Republic of Moldova,2015,10793,12594,18172,15511,14671,8287,3063.0,5989,208.8,144.2,123.7,694.2,1188,1366,4249.0,322.4,1973.0,216.5,433.3
239,Russian Federation,2015,8698,10793,23434,14661,12939,7239,3152.0,5450,351.9,137.9,111.6,1631.0,2266,683.3,4101.0,628.3,2609.0,117.9,995.4
240,Egypt,2015,10804,13427,18353,13545,14705,9994,2139.0,6433,392.1,221.4,242.8,586.1,791.6,1787,4157.0,429.3,1160.0,350.6,481.9
241,Namibia,2015,8957,10829,13518,11200,11802,7367,5069.0,6299,774.5,527.7,647.3,2356.0,3355,3314,5768.0,1017.0,4306.0,1413,1481.0
242,Antigua and Barbuda,2015,7583,10839,30420,18812,14558,5954,1421.0,3849,236.0,105.3,77.31,507.3,724.7,652.6,2331.0,437.0,895.7,100.2,497.4
243,Uzbekistan,2015,10869,14315,16606,17020,16734,7514,2012.0,4890,339.1,191.2,190.7,687.6,997,2083,3021.0,422.4,1328.0,250.4,530.2
244,Liberia,2015,9040,10876,13959,11389,11615,7594,3951.0,5878,663.5,739.4,852.5,1820.0,2496,6608,4665.0,992.7,3028.0,2439,1394.0
245,Democratic Republic of the Congo,2015,9904,11723,11957,10956,11962,8291,3519.0,6256,669.9,921.9,1260.0,1424.0,1910,7374,4811.0,928.2,2683.0,2337,1112.0
246,Panama,2015,5604,8067,45767,14495,10988,3726,1200.0,2539,375.4,176.3,153.4,690.9,639.6,1423,1859.0,538.5,871.9,238.4,647.7
247,Greece,2015,5532,7822,46518,17088,11264,3856,1020.0,2639,145.9,66.58,66.92,315.0,411.1,452.1,1637.0,228.1,593.1,100.5,245.0
248,Bulgaria,2015,8688,11305,26194,18005,14482,6773,2080.0,4900,237.4,92.65,100.9,512.2,702.9,650.1,3301.0,305.3,1187.0,121.2,362.0
249,Slovenia,2015,5822,8372,45085,17205,11515,4251,1006.0,2761,147.8,45.88,37.45,295.4,383.1,205,1797.0,220.3,608.0,47.77,195.0
250,United Arab Emirates,2015,9133,13037,26744,17326,15683,6285,1469.0,3972,242.8,101.1,95.04,455.0,597.2,668.9,2416.0,360.9,903.2,109.4,400.8
251,Japan,2015,4109,6264,57169,14700,9390,2801,759.4,1788,101.7,41.48,40.69,231.3,314.8,181.4,1195.0,170.4,478.9,71.54,192.4
252,Singapore,2015,4591,7517,52091,15391,11599,3079,756.2,2046,101.7,43.95,35.18,205.8,257.6,294,1225.0,124.9,434.1,60.96,147.0
253,Guatemala,2015,8677,9789,27480,14035,12140,6159,2597.0,4793,696.4,212.8,177.8,1220.0,1639,2294,3682.0,966.8,1968.0,461.8,1011.0
254,Finland,2015,5368,7206,48662,16386,11478,3696,1015.0,2440,135.0,49.64,26.07,336.1,405.1,168.5,1519.0,234.9,576.2,36.16,262.6
255,Poland,2015,7655,9714,36353,15914,12346,5889,1708.0,4157,193.0,67.88,46.99,434.3,652.1,405.3,2754.0,294.7,1015.0,68.46,333.8
256,Belgium,2015,5509,7753,47159,16536,11356,4049,1017.0,2686,112.8,46.82,44.04,297.2,408.5,324.2,1582.0,215.6,625.0,66.19,213.4
257,Mauritius,2015,8501,11150,29244,15214,13597,6234,2239.0,4297,284.9,102.2,77.88,758.7,1087,1275,3155.0,439.9,1564.0,176.1,602.1
258,Norway,2015,4712,7348,50501,17341,11366,3050,702.8,1961,102.7,36.2,17.65,255.3,291.6,223.3,1168.0,183.0,457.0,48.8,233.6
259,Kuwait,2015,5286,8203,48755,15695,11252,3645,834.0,2218,170.1,102.9,92.46,275.1,339.1,759.9,1321.0,226.6,479.6,122.8,223.3
260,Lithuania,2015,8497,9905,30663,15169,11987,6687,2539.0,4834,289.2,137.0,53.57,926.4,1398,425.5,3563.0,391.0,1787.0,102.9,645.5
261,Brazil,2015,7093,9737,34440,15867,12663,5051,1806.0,3656,608.5,148.3,109.7,828.7,1025,1373,2558.0,782.5,1324.0,167.6,762.3
262,Mali,2015,9191,11760,13928,11794,12594,7243,3046.0,5276,598.1,789.9,1363.0,1340.0,1793,6873,4079.0,788.6,2347.0,4171,1025.0
263,Armenia,2015,9063,12879,24688,18551,14840,6434,1891.0,4132,168.8,96.19,103.2,421.3,634.8,1317,2830.0,301.8,1193.0,156.5,300.0
264,Sri Lanka,2015,6850,12297,29896,17216,16855,5097,1514.0,3501,353.8,120.5,103.2,501.9,601.3,759.9,2381.0,478.0,884.6,127.2,463.6
265,Saudi Arabia,2015,9083,11696,25242,15306,14159,6966,2451.0,5114,343.5,103.3,99.49,879.9,1163,726.1,3595.0,581.8,1665.0,123.3,701.6
266,Cuba,2015,7485,9869,37544,16101,13211,5075,1376.0,3633,191.7,103.8,90.36,422.3,668.8,400.3,2200.0,252.5,890.8,147.4,338.0
267,Yemen,2015,9532,12491,18423,14407,14315,7176,2310.0,4904,580.4,473.8,527.3,1030.0,1256,4287,3435.0,869.3,1705.0,1368,910.7
268,United Kingdom of Great Britain and Northern Ireland,2015,5246,8043,46411,17259,12002,3620,1033.0,2312,123.5,44.93,38.08,318.9,472.3,387.4,1521.0,179.5,697.5,62.6,227.7
269,Tajikistan,2015,13006,17365,8999,15377,18721,8305,1934.0,5105,257.0,90.72,71.93,725.1,1039,3272,2891.0,419.5,1390.0,500.8,532.8
270,Tonga,2015,9648,12082,23854,14719,14165,7203,2501.0,5378,331.4,104.1,185.0,741.1,1059,1424,3671.0,481.3,1648.0,257.5,546.4
271,Chile,2015,6041,8908,44858,15403,11800,3717,1171.0,2652,235.4,88.21,77.28,412.3,541.5,676.1,1843.0,295.8,799.8,104.2,377.4
272,Morocco,2015,9749,13085,22204,16419,15902,6824,1885.0,4504,331.4,104.2,181.3,564.3,789.6,2063,2950.0,427.4,1198.0,360.8,458.9
273,Malawi,2015,9418,11376,13606,11223,12096,7803,4443.0,6232,702.4,474.1,836.8,2023.0,2797,3888,5362.0,1043.0,3638.0,1639,1400.0
274,Türkiye,2015,6962,11295,35533,17321,14965,4672,1043.0,2942,199.8,120.3,123.1,272.0,379.6,1044,1854.0,222.9,648.0,171.8,231.5
275,Kazakhstan,2015,9510,11957,22192,15518,14585,7169,2630.0,5151,329.2,155.2,147.8,1097.0,1586,1044,3587.0,500.8,2036.0,123.6,681.0
276,Libya,2015,7770,9874,34268,13456,13057,5560,1951.0,3478,656.9,278.7,222.2,1047.0,1193,1128,2485.0,976.3,1442.0,193.2,964.1
277,Venezuela (Bolivarian Republic of),2015,6471,8797,34689,16285,12283,5367,1571.0,3487,859.3,191.8,145.8,1047.0,1093,1587,2329.0,1281.0,1171.0,268,1078.0
278,Luxembourg,2015,5120,7512,51058,16335,11048,3247,787.7,2037,105.0,22.81,21.62,188.4,261.5,221.8,1289.0,96.14,462.2,50.4,135.6
279,Bahrain,2015,7840,13477,27116,19646,18071,5188,985.6,2797,279.1,90.24,105.9,359.8,473.5,628.5,1596.0,361.0,594.2,106,284.5
280,China,2015,7157,11213,31471,19595,15536,4752,1335.0,3015,188.4,105.9,106.3,424.7,590.4,911.7,1945.0,268.8,916.9,151.2,318.0
281,Burkina Faso,2015,9845,12142,12405,11172,12515,7993,3282.0,5986,696.5,645.6,1131.0,1302.0,1740,6077,4574.0,889.5,2425.0,4124,1056.0
282,Lebanon,2015,8495,12077,29646,17244,15199,5701,1491.0,3770,300.7,117.4,106.2,439.7,597.6,601.3,2444.0,390.7,904.1,94.16,381.5
283,Republic of Korea,2015,4145,7194,50899,16724,11677,2765,960.7,1969,106.3,45.42,45.37,300.9,388.3,282.8,1431.0,164.1,628.0,49.94,223.6
284,Cabo Verde,2015,6393,9611,33555,16579,13123,4290,2391.0,3761,328.1,121.5,106.7,949.0,1354,1596,2682.0,491.3,1658.0,286.2,725.1
285,Ethiopia,2015,9173,12285,18274,14029,14190,6904,2705.0,4831,520.8,557.3,704.0,1061.0,1483,4258,3637.0,644.8,2033.0,1908,801.6
286,Mauritania,2015,8618,11832,21252,14832,13978,6373,1999.0,4239,396.4,235.4,515.9,844.8,1064,5439,2974.0,576.4,1462.0,2671,696.9
287,The former Yugoslav Republic of Macedonia,2015,9567,13729,17553,21241,18667,6648,1637.0,4539,178.2,76.21,61.19,336.2,510.2,1066,2680.0,195.6,865.6,159.7,289.6
288,Djibouti,2015,9285,11740,15742,12744,13020,7298,3615.0,5467,583.1,522.1,841.8,1577.0,2213,4981,4450.0,779.1,2959.0,1114,1069.0
289,Trinidad and Tobago,2015,7137,9446,33775,15279,12461,5487,1882.0,3704,508.7,150.9,107.2,992.0,1102,1747,2848.0,906.2,1430.0,211.3,826.1
290,Maldives,2015,5946,12850,34594,20052,15491,3902,801.7,2408,213.5,129.2,107.3,185.1,247.6,917.8,1225.0,186.0,394.3,141.2,208.2
291,Ukraine,2015,9062,11915,23046,15399,14115,7100,2838.0,5073,308.1,107.8,93.81,1117.0,1678,837.4,3762.0,494.5,2192.0,130.5,730.1
292,Colombia,2015,5364,8244,43347,16196,12474,3479,1079.0,2408,455.8,139.1,112.4,684.5,731.7,1320,1591.0,661.9,839.3,221.7,653.0
293,Myanmar,2015,9857,12735,17525,14061,14269,7464,2651.0,5275,502.0,257.8,317.4,1081.0,1415,4104,3859.0,706.9,1957.0,1119,841.7
294,Portugal,2015,4923,7338,48006,17101,11323,3576,1186.0,2500,109.4,42.83,53.16,262.4,395.1,302.8,1740.0,168.1,702.6,68.95,202.2
295,France,2015,4673,6380,53582,14426,9393,3634,1099.0,2657,129.5,46.64,40.43,301.6,425.1,340,1701.0,197.2,676.5,65.14,233.5
296,Romania,2015,8254,11000,27595,17498,14498,6500,1940.0,4920,221.8,111.4,90.36,450.2,673.7,877.9,3367.0,291.5,1186.0,149.5,374.2
297,Thailand,2015,5848,8220,42489,13999,11086,4207,1848.0,2966,446.6,248.4,185.2,985.1,1242,926.8,2358.0,562.8,1510.0,148.9,722.9
298,Cyprus,2015,4552,6947,50493,18473,11113,2878,698.0,1842,125.2,48.84,59.68,193.5,316.9,223.5,1141.0,177.1,526.2,50.7,141.4
299,Jamaica,2015,7366,11142,33292,15050,13954,5214,1988.0,3818,165.8,159.2,134.6,679.3,929.5,1282,2576.0,308.5,1312.0,223.6,406.4
300,Kenya,2015,8986,11159,14940,12071,12333,7413,4590.0,6038,736.7,453.4,567.9,1823.0,2710,3601,5341.0,936.1,3661.0,1424,1216.0
301,Togo,2015,9731,11710,12589,11162,12127,8066,4079.0,6246,747.7,559.2,801.3,1681.0,2383,5152,5103.0,936.0,3238.0,2496,1192.0
302,El Salvador,2015,6035,8412,36014,14127,11213,4452,2278.0,3705,932.7,197.7,113.9,1678.0,1922,1333,2767.0,1262.0,1991.0,216.5,1351.0
303,Suriname,2015,8215,11229,25899,15790,13732,6295,2265.0,5415,400.2,176.8,139.3,1127.0,1178,1780,3190.0,503.7,1571.0,218.4,875.8
304,New Zealand,2015,4705,7441,49550,16794,11271,3057,964.1,2076,230.9,61.43,47.76,310.6,392.8,448.1,1421.0,277.0,582.6,92.43,277.7
305,Iceland,2015,4566,7331,50566,17834,11289,2664,630.7,1921,155.1,49.47,38.36,354.6,376.4,175,1125.0,172.2,466.8,74.31,211.1
306,Malta,2015,4717,7228,49782,17552,11353,3124,732.5,2033,118.9,59.68,38.28,246.9,352.4,608.7,1244.0,150.6,440.6,67.91,151.5
307,United States of America,2015,6068,8537,42761,15192,11386,4512,1464.0,3336,236.6,72.33,56.87,633.9,756.4,619.9,2314.0,436.4,996.7,97.85,522.8
308,Nigeria,2015,8595,11415,15879,12390,12916,6517,2686.0,4661,483.0,731.6,1282.0,1171.0,1603,7885,3532.0,643.4,2075.0,4675,859.3
309,Germany,2015,5810,8206,45614,17171,11426,4173,985.0,2758,119.1,43.51,35.33,269.0,366.5,328.2,1684.0,165.7,587.0,65.69,193.6
310,South Africa,2015,8384,9007,15685,11455,9700,7183,4952.0,6125,868.5,347.4,345.1,3549.0,4267,2905,5598.0,1565.0,4744.0,850.7,2471.0
311,Haiti,2015,9897,11845,12780,11456,12325,8238,3925.0,6334,689.0,468.4,663.3,1661.0,2264,5346,5070.0,974.3,3097.0,1721,1248.0
312,Iraq,2015,8956,11472,24267,14209,13417,6570,2370.0,4479,729.5,590.4,516.6,1192.0,1289,2332,3283.0,1195.0,1531.0,478.7,1123.0
313,Israel,2015,4855,7482,50080,17001,11495,3029,740.6,1974,116.2,62.83,49.34,220.4,264.4,312.6,1418.0,172.8,476.9,70.36,178.2
314,Angola,2015,9708,11675,13367,11496,12116,8001,3426.0,5951,625.5,632.8,1129.0,1580.0,2043,5824,4637.0,914.4,2714.0,2980,1182.0
315,Fiji,2015,11551,13894,13680,12451,13924,9933,3193.0,7245,451.9,268.7,214.7,888.9,1307,2105,5156.0,636.4,2020.0,368.1,712.9
316,Peru,2015,5347,7615,46754,14419,11553,3615,1207.0,2511,290.1,161.9,156.4,552.9,661.5,1319,1701.0,402.2,896.2,349.2,487.7
317,South Sudan,2015,8988,11597,15007,12017,12762,6967,3145.0,5110,672.1,670.7,1226.0,1577.0,2042,6171,4000.0,988.0,2534.0,3310,1216.0
318,Sweden,2015,4792,7798,49849,17079,11631,3051,658.3,1946,114.7,55.01,33.68,278.3,297.7,244.6,1188.0,226.9,422.4,50.65,285.2
319,Azerbaijan,2015,11666,14384,13501,18098,17877,7868,1934.0,5085,287.4,146.4,171.6,534.4,794.2,2187,3152.0,403.6,1194.0,303.2,412.5
320,India,2015,9080,11689,19897,16379,14023,7037,2263.0,5248,426.3,301.8,336.4,903.9,1228,3665,3783.0,593.7,1595.0,853.6,696.9
321,Belarus,2015,8946,11711,25205,16127,13977,7321,2579.0,5155,168.2,76.48,62.33,811.0,1241,295.2,3585.0,346.9,1788.0,75.45,527.8
322,United Republic of Tanzania,2015,9045,11722,16971,12972,13163,7091,3414.0,5249,610.0,339.1,827.9,1579.0,2130,4197,4249.0,826.0,2758.0,1712,1144.0
323,Netherlands,2015,5268,7979,47639,17580,11767,3532,810.6,2233,92.21,42.84,32.2,215.0,306.8,324.4,1355.0,127.9,471.5,55.13,169.7
324,Uganda,2015,9417,11788,15410,12199,12922,7484,3640.0,5738,711.7,551.7,904.9,1672.0,2218,3973,4615.0,921.2,2898.0,1714,1223.0
325,Niger,2015,9650,12176,13550,11834,12875,7662,2844.0,5470,598.5,1429.0,1641.0,1200.0,1583,5265,4067.0,784.9,2130.0,4278,963.3
326,Nicaragua,2015,8194,11835,27341,18188,15703,5563,1554.0,3664,305.4,222.0,150.9,485.8,658.1,1662,2421.0,385.2,979.7,281.3,407.2
327,Belize,2015,7068,8954,33439,14495,11875,5820,2281.0,4508,490.1,165.1,137.3,1327.0,1359,1265,3111.0,785.4,1543.0,211.8,1167.0
328,Oman,2015,11961,17011,11877,19602,20942,6761,1290.0,3630,527.3,124.0,124.9,451.4,572,973.6,2224.0,588.1,793.0,158.4,389.5
329,Viet Nam,2015,8729,11957,25291,16753,14948,6318,1984.0,4399,369.2,163.5,122.0,601.4,835.8,1774,3037.0,501.5,1270.0,436.6,510.0
330,Benin,2015,9518,12056,14175,11963,12842,7620,2929.0,5495,585.3,696.9,1273.0,1194.0,1600,6490,4124.0,763.8,2194.0,3546,935.2
