Country,Group1,Group2,corr
Afghanistan,Schooling,AdultMortality,0.13491455726760523
Afghanistan,Schooling,InfantDeaths,-0.9189530197762771
Afghanistan,Schooling,DeathsUnder5,-0.9170246885373581
Afghanistan,Schooling,TotalExpenditure,0.08266436520684997
Afghanistan,Schooling,GDP,0.7433244632683076
Afghanistan,Schooling,Schooling,1.0
Afghanistan,Schooling,BodyMassIndex,0.9742524385543457
Afghanistan,Schooling,Alcohol,-0.045768726869656204
Afghanistan,Schooling,Hepatitis B,0.24300696096452304
Afghanistan,Schooling,Polio,0.4844711183593925
Afghanistan,Schooling,ICOR index,0.9909373572246137
Afghanistan,BodyMassIndex,Population,0.2336960688587004
Afghanistan,BodyMassIndex,LifeExpectancy,0.9023323030745589
Afghanistan,BodyMassIndex,AdultMortality,0.09372000607277617
Afghanistan,BodyMassIndex,InfantDeaths,-0.9791839858677475
Afghanistan,BodyMassIndex,DeathsUnder5,-0.9779835929925725
Afghanistan,BodyMassIndex,TotalExpenditure,0.0961164099264102
Afghanistan,BodyMassIndex,GDP,0.7884175981435418
Afghanistan,BodyMassIndex,Schooling,0.9742524385543457
Afghanistan,BodyMassIndex,BodyMassIndex,1.0
Afghanistan,BodyMassIndex,Alcohol,-0.1912664699256811
Afghanistan,BodyMassIndex,Hepatitis B,0.1980978851600133
Afghanistan,BodyMassIndex,Polio,0.3299963202463219
Afghanistan,BodyMassIndex,ICOR index,0.9827097110234071
Afghanistan,Alcohol,Population,-0.05938927756166084
Afghanistan,Alcohol,LifeExpectancy,-0.1831004422890423
Afghanistan,Alcohol,AdultMortality,0.20097813017818117
Afghanistan,Alcohol,InfantDeaths,0.33600743195289695
Afghanistan,Alcohol,DeathsUnder5,0.32584026155031165
Afghanistan,Alcohol,TotalExpenditure,-0.27659677556285656
Afghanistan,Alcohol,GDP,-0.1976122745305232
Afghanistan,Alcohol,Schooling,-0.045768726869656204
Afghanistan,Alcohol,BodyMassIndex,-0.1912664699256811
Afghanistan,Alcohol,Alcohol,1.0
Afghanistan,Alcohol,Hepatitis B,0.003139241665243751
Afghanistan,Alcohol,Polio,0.13469416420475092
Afghanistan,Alcohol,ICOR index,-0.07326729083551575
Afghanistan,Hepatitis B,Population,0.048906077786377934
Afghanistan,Hepatitis B,LifeExpectancy,0.24029289935972795
Afghanistan,Hepatitis B,AdultMortality,-0.0022911278135009064
Afghanistan,Hepatitis B,InfantDeaths,-0.14178320499266103
Afghanistan,Hepatitis B,DeathsUnder5,-0.13769189933212975
Afghanistan,Hepatitis B,TotalExpenditure,0.2832330959589598
Afghanistan,Hepatitis B,GDP,-0.0974355484492066
Afghanistan,Hepatitis B,Schooling,0.24300696096452304
Afghanistan,Hepatitis B,BodyMassIndex,0.1980978851600133
Afghanistan,Hepatitis B,Alcohol,0.003139241665243751
Afghanistan,Hepatitis B,Hepatitis B,1.0
Afghanistan,Hepatitis B,Polio,0.038724168748362264
Afghanistan,Hepatitis B,ICOR index,0.24520211750429471
Afghanistan,Polio,Population,-0.42950134271884316
Afghanistan,Polio,LifeExpectancy,-0.010445348830936335
Afghanistan,Polio,AdultMortality,0.08891558623410709
Afghanistan,Polio,InfantDeaths,-0.25189546445510685
Afghanistan,Polio,DeathsUnder5,-0.24161194434536754
Afghanistan,Polio,TotalExpenditure,-0.027590257704487878
